3400	34.27	48.68	47.82	49.95	61.35	74.28	3.23	3.15	3.25	3.86	4.43
3681	39.57	40.33	42.35	43.05	43.71	44.05	1.58	1.66	1.62	1.63	1.63
3707	44.75	97.36	93.97	66.6	64.59	63.99	3	2.94	2.16	2.03	1.98
3780	53.62	76.8	80.82	76.54	75.45	74.44	2.1	2.14	1.91	1.82	1.76
2692	56.82	101.2	90.89	91.6	93.66	94.32	1.92	1.7	1.6	1.61	1.6
2879	44.61	53.48	48.98	47.5	47.72	48.02	2.01	1.82	1.6	1.56	1.55
3473	34.43	31.48	32.36	33.15	33.34	33.61	1.58	1.61	1.55	1.54	1.54
3681	39.57	40.33	42.35	43.05	43.71	44.05	1.58	1.66	1.62	1.63	1.63
4035	55.26	61.25	62.99	61.97	64.48	65.74	1.72	1.72	1.58	1.63	1.64
4135	71.65	137.95	97.1	83.12	83.26	83.38	1.49	1.1	0.76	0.74	0.74
4215	57.47	67.96	71.85	77.42	78.39	78.55	0.92	0.97	1	1.01	1
4381	28.67	28.03	30.02	33.81	34.91	35.32	1.57	1.72	1.97	2.03	2.05
4430	44.59	56.1	59.82	64.93	64.58	64.37	1.27	1.36	1.45	1.41	1.38
5102	64.26	118.84	102.43	93.59	94.12	94.27	1.42	1.21	0.99	0.99	0.99
5364	86.21	25354.96	13893.79	271.72	140.98	139.23	11.57	10.19	4	1.52	1.3
5365	84.21	1347.6	547.2	100.39	101.52	102.4	3.94	3.25	1.06	1.04	1.05
